description	name	onlinefilter	samplingrate	status	type
sensor gradiometer	MEG2442	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2443	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2441	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2512	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2513	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2511	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2522	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2523	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2521	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2533	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2532	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2531	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2543	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2542	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2541	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2612	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2613	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2611	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2623	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2622	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2621	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2633	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2632	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2631	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2642	0.00-356.40	1100.000000	good	MEG
sensor gradiometer	MEG2643	0.00-356.40	1100.000000	good	MEG
magnetometer	MEG2641	0.00-356.40	1100.000000	good	MEG
electro-encephalography channel	EEG001	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG002	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG003	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG004	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG005	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG006	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG007	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG008	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG009	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG010	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG011	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG012	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG013	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG014	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG015	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG016	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG017	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG018	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG019	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG020	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG021	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG022	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG023	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG024	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG025	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG026	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG027	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG028	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG029	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG030	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG031	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG032	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG033	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG034	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG035	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG036	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG037	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG038	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG039	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG040	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG041	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG042	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG043	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG044	0.00-356.40	1100.000000	bad	EEG
electro-encephalography channel	EEG045	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG046	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG047	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG048	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG049	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG050	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG051	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG052	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG053	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG054	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG055	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG056	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG057	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG058	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG059	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG060	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG061	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG062	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG063	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG064	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG065	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG066	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG067	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG068	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG069	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG070	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG071	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG072	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG073	0.00-356.40	1100.000000	good	EEG
electro-encephalography channel	EEG074	0.00-356.40	1100.000000	good	EEG
analogue trigger	STI101	0.00-356.40	1100.000000	good	TRIG
analogue trigger	STI201	0.00-356.40	1100.000000	good	TRIG
analogue trigger	STI301	0.00-356.40	1100.000000	good	TRIG
miscellaneous channel	MISC201	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC202	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC203	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC204	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC205	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC206	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC301	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC302	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC303	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC304	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC305	0.00-356.40	1100.000000	good	MISC
miscellaneous channel	MISC306	0.00-356.40	1100.000000	good	MISC
