name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
MEG1723	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1721	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1732	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1733	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1731	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1743	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1742	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1741	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1813	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1812	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1811	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1822	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1823	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1821	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1832	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1833	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1831	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1843	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1842	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1841	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1912	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1913	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1911	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1923	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1922	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1921	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1932	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1933	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1931	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG1943	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1942	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG1941	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2013	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2012	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2011	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2023	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2022	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2021	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2032	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2033	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2031	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2042	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2043	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2041	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2113	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2112	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2111	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2122	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2123	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2121	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2133	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2132	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2131	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2143	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2142	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2141	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2212	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2213	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2211	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2223	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2222	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2221	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2233	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2232	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2231	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2242	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2243	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2241	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2312	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2313	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2311	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2323	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2322	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2321	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2332	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2333	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2331	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2343	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2342	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2341	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2412	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2413	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2411	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2423	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2422	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2421	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2433	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2432	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2431	MEG	magnetometer	1100	350	0	0	tSSS	good
